date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:20	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202025%2022:37:20%20GMT	https://smashcamp.xyz/*	smashcamp.xyz/_.0.delayed	(from )
22:37:22	10635/10635	---MCZ	200	added ('OK')	text/html	etag:W/%22467db61a7dc9b6c88acffbad3d60993d%22	https://smashcamp.xyz/	smashcamp.xyz/index.html	(from )
22:37:22	99/99	---M--	200	added ('OK')	text/plain	etag:%226882ac77-63%22	https://smashcamp.xyz/robots.txt		(from )
22:37:22	19154/19154	---M--	200	added ('OK')	image/png	etag:%22646986d5-4ad2%22	https://smashcamp.xyz/assets/favicon/apple-touch-icon-700c1729390e4bcd80dc524d7653b62dda017558cf466c36024d3978edbf5cb4.png	smashcamp.xyz/assets/favicon/apple-touch-icon-700c1729390e4bcd80dc524d7653b62dda017558cf466c36024d3978edbf5cb4.png	(from https://smashcamp.xyz/)
22:37:23	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202025%2022:37:23%20GMT	https://smashcamp.xyz/SmashCamp.xyz	smashcamp.xyz/SmashCamp.xyz	(from https://smashcamp.xyz/)
22:37:24	2703/2703	---M--	200	added ('OK')	image/png	etag:%22646986d5-a8f%22	https://smashcamp.xyz/assets/favicon/favicon-32x32-b1a4d2e53b6d3fb34b15b9d34f672b09a21abed2d26fb0725df849c894380d4e.png	smashcamp.xyz/assets/favicon/favicon-32x32-b1a4d2e53b6d3fb34b15b9d34f672b09a21abed2d26fb0725df849c894380d4e.png	(from https://smashcamp.xyz/)
22:37:25	14790/14790	---M--	200	added ('OK')	image/png	etag:%22646986d5-39c6%22	https://smashcamp.xyz/assets/favicon/android-chrome-192x192-2f380ee5306769371f6194b4d99b518127fcf8dd3d2f57e5e5fb030182fc59f0.png	smashcamp.xyz/assets/favicon/android-chrome-192x192-2f380ee5306769371f6194b4d99b518127fcf8dd3d2f57e5e5fb030182fc59f0.png	(from https://smashcamp.xyz/)
22:37:26	1471/1471	---M--	200	added ('OK')	image/png	etag:%22646986d5-5bf%22	https://smashcamp.xyz/assets/favicon/favicon-16x16-908a87cfc50ab33620dacb12c1ab067b27e9035386de14d78d2a725224f4320d.png	smashcamp.xyz/assets/favicon/favicon-16x16-908a87cfc50ab33620dacb12c1ab067b27e9035386de14d78d2a725224f4320d.png	(from https://smashcamp.xyz/)
22:37:27	442/442	---M-Z	200	added ('OK')	application/octet-stream	etag:%22649473f3-c3%22	https://smashcamp.xyz/assets/favicon/site-2273664cb123a850b88677114fec041d66e61381cf6f35321e26f35311cddb4b.webmanifest	smashcamp.xyz/assets/favicon/site-2273664cb123a850b88677114fec041d66e61381cf6f35321e26f35311cddb4b.webmanifest	(from https://smashcamp.xyz/)
22:37:28	12376/12376	---M-Z	200	added ('OK')	image/svg+xml	etag:%22646986d5-6dc%22	https://smashcamp.xyz/assets/favicon/safari-pinned-tab-41e528224200cf9a750bbc9c81666db7481bf71e80b699e423bf4b41ecd9bdbd.svg	smashcamp.xyz/assets/favicon/safari-pinned-tab-41e528224200cf9a750bbc9c81666db7481bf71e80b699e423bf4b41ecd9bdbd.svg	(from https://smashcamp.xyz/)
22:37:29	246/246	---M--	200	added ('OK')	text/xml	etag:%22646986d5-f6%22	https://smashcamp.xyz/assets/favicon/browserconfig-89cc29691fea276c02cfd1e91f982350cfe9295959710b66c9a60badf55e7f8a.xml	smashcamp.xyz/assets/favicon/browserconfig-89cc29691fea276c02cfd1e91f982350cfe9295959710b66c9a60badf55e7f8a.xml	(from https://smashcamp.xyz/)
22:37:30	348130/348130	---M-Z	200	added ('OK')	text/css	etag:%2264928eb3-c8a3%22	https://smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css	smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css	(from https://smashcamp.xyz/)
22:37:33	8254/8254	---MCZ	200	added ('OK')	text/html	etag:W/%2242c8617acf267f765a62671bb96ef237%22	https://smashcamp.xyz/pre-camp	smashcamp.xyz/pre-camp.html	(from https://smashcamp.xyz/)
22:37:33	1956698/1956698	---M-Z	200	added ('OK')	application/javascript	etag:%226882acc1-9d17a%22	https://smashcamp.xyz/packs/js/application-301b03ef042730d816eb.js	smashcamp.xyz/packs/js/application-301b03ef042730d816eb.js	(from https://smashcamp.xyz/)
22:37:34	36282/36282	---MCZ	200	added ('OK')	text/html	etag:W/%2230380e3bf5e44e6c64cfb128bd8e010a%22	https://smashcamp.xyz/days/1	smashcamp.xyz/days/1.html	(from https://smashcamp.xyz/)
22:37:35	50325/50325	---MCZ	200	added ('OK')	text/html	etag:W/%227157e216c4ae625f02506035697861fc%22	https://smashcamp.xyz/days/2	smashcamp.xyz/days/2.html	(from https://smashcamp.xyz/)
22:37:36	52077/52077	---MCZ	200	added ('OK')	text/html	etag:W/%22613caf466bada02bdfd2bb621962ac90%22	https://smashcamp.xyz/days/3	smashcamp.xyz/days/3.html	(from https://smashcamp.xyz/)
22:37:37	51489/51489	---MCZ	200	added ('OK')	text/html	etag:W/%221774d75034fdd8b6542ce8dc3b4dbc0e%22	https://smashcamp.xyz/days/4	smashcamp.xyz/days/4.html	(from https://smashcamp.xyz/)
22:37:38	45922/45922	---MCZ	200	added ('OK')	text/html	etag:W/%22020f7c732950d92cb59b30263972d17c%22	https://smashcamp.xyz/days/5	smashcamp.xyz/days/5.html	(from https://smashcamp.xyz/)
22:37:40	37706/37706	---MCZ	200	added ('OK')	text/html	etag:W/%225015211b523109ca6965a184f1f73795%22	https://smashcamp.xyz/conclusion	smashcamp.xyz/conclusion.html	(from https://smashcamp.xyz/)
22:37:40	8192/8192	---MCZ	200	added ('OK')	text/html	etag:W/%2242bdbcaf6b7d1c24d896c84c85be4662%22	https://smashcamp.xyz/events/side-events	smashcamp.xyz/events/side-events.html	(from https://smashcamp.xyz/)
22:37:41	9804/9804	---MCZ	200	added ('OK')	text/html	etag:W/%22e7a59e94dbe56a5f619039831eac08f5%22	https://smashcamp.xyz/events	smashcamp.xyz/events.html	(from https://smashcamp.xyz/)
22:37:42	46650/46650	---M--	200	added ('OK')	image/png	etag:%226882ac77-b63a%22	https://smashcamp.xyz/SmashCamp.png	smashcamp.xyz/SmashCamp.png	(from https://smashcamp.xyz/)
22:37:42	17701/17701	---MCZ	200	added ('OK')	text/html	etag:W/%223a40781c03c8fd20a077a09a587971b4%22	https://smashcamp.xyz/pages/hall_of_fame	smashcamp.xyz/pages/hall_of_fame.html	(from https://smashcamp.xyz/)
22:37:43	10305/10305	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Jul%202025%2022:37:43%20GMT	https://smashcamp.xyz/assets/chosen-js/chosen.min.css	smashcamp.xyz/assets/chosen-js/chosen.min.css	(from https://smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css)
22:37:44	12384/12384	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Jul%202025%2022:37:44%20GMT	https://smashcamp.xyz/assets/bootstrap4c-chosen/dist/css/component-chosen.min.css	smashcamp.xyz/assets/bootstrap4c-chosen/dist/css/component-chosen.min.css	(from https://smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css)
22:37:46	22436/22436	---MCZ	200	added ('OK')	text/html	etag:W/%223d873c1207f161e118469008f00971e4%22	https://smashcamp.xyz/events/28	smashcamp.xyz/events/28.html	(from https://smashcamp.xyz/pre-camp)
22:37:47	27307/27307	---MCZ	200	added ('OK')	text/html	etag:W/%22bddc1595055119e8cae6ef0a5eec6cb9%22	https://smashcamp.xyz/events/29	smashcamp.xyz/events/29.html	(from https://smashcamp.xyz/pre-camp)
22:37:48	30124/30124	---MCZ	200	added ('OK')	text/html	etag:W/%22e36a320d313d2411320fbfad6868e004%22	https://smashcamp.xyz/events/52	smashcamp.xyz/events/52.html	(from https://smashcamp.xyz/pre-camp)
22:37:49	21235/21235	---MCZ	200	added ('OK')	text/html	etag:W/%22cdd31277ec56fcb9e7333d672deb34b8%22	https://smashcamp.xyz/events/41	smashcamp.xyz/events/41.html	(from https://smashcamp.xyz/pre-camp)
22:37:50	13638/13638	---MCZ	200	added ('OK')	text/html	etag:W/%22897a5093f7b0cd06807521080ca31af8%22	https://smashcamp.xyz/events/38	smashcamp.xyz/events/38.html	(from https://smashcamp.xyz/pre-camp)
22:37:51	9179/9179	---MCZ	200	added ('OK')	text/html	etag:W/%2210de48cdc7db59496fafdb47b70d1b85%22	https://smashcamp.xyz/events/39	smashcamp.xyz/events/39.html	(from https://smashcamp.xyz/pre-camp)
22:37:52	16592/16592	---MCZ	200	added ('OK')	text/html	etag:W/%222221390eb8168b38a430ed73ba7034ff%22	https://smashcamp.xyz/events/31	smashcamp.xyz/events/31.html	(from https://smashcamp.xyz/pre-camp)
22:37:53	11259/11259	---MCZ	200	added ('OK')	text/html	etag:W/%222f450b06e4b31f9e3289bf97844a1b8d%22	https://smashcamp.xyz/events/60	smashcamp.xyz/events/60.html	(from https://smashcamp.xyz/pre-camp)
22:37:54	9178/9178	---MCZ	200	added ('OK')	text/html	etag:W/%228f0fa13690225b587263dc2e7e645bdb%22	https://smashcamp.xyz/events/62	smashcamp.xyz/events/62.html	(from https://smashcamp.xyz/pre-camp)
22:37:55	12118/12118	---MCZ	200	added ('OK')	text/html	etag:W/%222b5153c24b6373239afe22d9321aba8a%22	https://smashcamp.xyz/events/32	smashcamp.xyz/events/32.html	(from https://smashcamp.xyz/pre-camp)
22:37:55	93/93	---MC-	302	error ('Found')	text/html	date:Thu,%2024%20Jul%202025%2022:37:55%20GMT	https://smashcamp.xyz/days/SmashCamp.xyz	smashcamp.xyz/days/SmashCamp.xyz	(from https://smashcamp.xyz/days/1)
22:37:57	6558/6558	---MCZ	200	added ('OK')	text/html	etag:W/%22e534cfb47ff87ca00a465c8ba9e64f5e%22	https://smashcamp.xyz/REEEE	smashcamp.xyz/REEEE.html	(from https://smashcamp.xyz/days/1)
22:37:57	46650/46650	---M--	200	added ('OK')	image/png	etag:%22686973c6-b63a%22	https://smashcamp.xyz/assets/SmashCamp-47380b0a5e09e256075fe39b4654bc26542977db42ca269b6dc7351709a5e9c7.png	smashcamp.xyz/assets/SmashCamp-47380b0a5e09e256075fe39b4654bc26542977db42ca269b6dc7351709a5e9c7.png	(from https://smashcamp.xyz/days/1)
22:37:58	1394/1394	---M--	200	added ('OK')	image/png	etag:%22646986d5-572%22	https://smashcamp.xyz/assets/stardivider-dd810b73e53041cad6c10947719a83c4b916b2caffcaebc3974ed966f222968c.png	smashcamp.xyz/assets/stardivider-dd810b73e53041cad6c10947719a83c4b916b2caffcaebc3974ed966f222968c.png	(from https://smashcamp.xyz/days/1)
22:37:59	4151/4151	---M--	200	added ('OK')	image/png	etag:%22646986d5-1037%22	https://smashcamp.xyz/assets/WelcomeToDay1-eac4824b3060d2d93b204c6916b40e391ab69eee74877bb09154cec442df48b5.png	smashcamp.xyz/assets/WelcomeToDay1-eac4824b3060d2d93b204c6916b40e391ab69eee74877bb09154cec442df48b5.png	(from https://smashcamp.xyz/days/1)
22:38:00	1394/1394	---M--	200	added ('OK')	image/png	etag:%226882ac77-572%22	https://smashcamp.xyz/stardivider.png	smashcamp.xyz/stardivider.png	(from https://smashcamp.xyz/days/1)
22:38:01	652/652	---MC-	302	error ('Found')	text/html	date:Thu,%2024%20Jul%202025%2022:38:01%20GMT	https://smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70162989ee44bde41bba5a2fb0d843b4c9f2890a/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70162989ee44bde41bba5a2fb0d843b4c9f2890a/Submission%20Guidelines.png	(from https://smashcamp.xyz/days/1)
22:38:02	5871/5871	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2016:27:22%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhialJ3T0RaamRUazJiWEZpWlRkdlluQnNOV3QwZEhoM2VHbDVhd1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpWDJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SWxOMVltMXBjM05wYjI0Z1IzVnBaR1ZzYVc1bGN5NXdibWNpT3lCbWFXeGxibUZ0WlNvOVZWUkdMVGduSjFOMVltMXBjM05wYjI0bE1qQkhkV2xrWld4cGJtVnpMbkJ1WndZN0JsUTZFV052Ym5SbGJuUmZkSGx3WlVraURtbHRZV2RsTDNCdVp3WTdCbFE2RVhObGNuWnBZMlZmYm1GdFpUb0tiRzlqWVd3PSIsImV4cCI6IjIwMjUtMDctMjRUMjI6NDM6MDEuMTE0WiIsInB1ciI6ImJsb2Jfa2V5In19--5e21c6794b286864c6d308810a21f92c79089d6d/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/Submission%20Guidelines.png_;%20filename_=UTF-8''Submission%20Guidelines.png	(from https://smashcamp.xyz/days/1)
